"","DATE","ATM1","ATM2","ATM3","ATM4"
"1",39934,96,107,0,776.993422635774
"2",39935,82,89,0,524.417958901937
"3",39936,85,90,0,792.811361561722
"4",39937,90,55,0,908.238456710197
"5",39938,99,79,0,52.832102885407
"6",39939,88,19,0,52.2084543309194
"7",39940,8,2,0,55.4736091504924
"8",39941,104,103,0,558.503251043943
"9",39942,87,107,0,904.341359476877
"10",39943,93,118,0,879.493587939467
"11",39944,86,75,0,274.022339859553
"12",39945,111,111,0,396.108347278232
"13",39946,75,25,0,274.547187676832
"14",39947,6,16,0,16.3211587778839
"15",39948,102,137,0,852.307037059765
"16",39949,73,95,0,379.561702777514
"17",39950,92,103,0,31.2849526928664
"18",39951,82,80,0,491.85057706998
"19",39952,86,118,0,83.7054798743499
"20",39953,73,30,0,128.653781247532
"21",39954,20,7,0,14.3575903757796
"22",39955,100,118,0,815.358321475922
"23",39956,93,104,0,758.218587112983
"24",39957,90,59,0,601.421108345678
"25",39958,94,40,0,906.796873134167
"26",39959,98,106,0,502.907894207834
"27",39960,73,18,0,88.2731377918408
"28",39961,10,9,0,35.43833546129
"29",39962,97,136,0,338.459424759929
"30",39963,102,118,0,4.54799596505236
"31",39964,85,64,0,122.667744898782
"32",39965,85,77,0,150.234945369102
"33",39966,108,133,0,721.155281380069
"34",39967,94,45,0,443.012567954839
"35",39968,14,14,0,17.1517201347435
"36",39969,3,20,0,14.8876952016645
"37",39970,96,147,0,740.543154963891
"38",39971,109,105,0,1058.08338419878
"39",39972,96,132,0,576.183700841274
"40",39973,145,93,0,1484.12688716633
"41",39974,81,26,0,193.78732663625
"42",39975,16,7,0,27.0547792798363
"43",39976,142,112,0,1190.89892093646
"44",39977,109,91,0,746.495616650504
"45",39978,120,72,0,1220.76788182341
"46",39979,106,66,0,1021.50352869046
"47",39980,115,82,0,372.623610185752
"48",39981,108,24,0,321.272934509611
"49",39982,21,22,0,92.4766549694339
"50",39983,140,134,0,116.644133184619
"51",39984,110,95,0,202.41350282446
"52",39985,115,82,0,524.434513734354
"53",39986,90,90,0,80.6443544327333
"54",39987,108,99,0,64.2735892445865
"55",39988,66,35,0,90.6365710039204
"56",39989,13,3,0,48.046061030476
"57",39990,99,117,0,1026.03217198209
"58",39991,105,53,0,423.77097104651
"59",39992,104,44,0,60.6264531187625
"60",39993,98,56,0,540.281404318153
"61",39994,110,110,0,173.705568168891
"62",39995,79,36,0,393.239982380583
"63",39996,16,12,0,41.9486209671262
"64",39997,110,128,0,310.006526961919
"65",39998,96,72,0,110.051915016457
"66",39999,114,122,0,682.18236689384
"67",40000,126,100,0,54.6679044066747
"68",40001,126,108,0,213.989896435116
"69",40002,73,25,0,738.126359903811
"70",40003,4,6,0,16.2060809771332
"71",40004,19,22,0,16.2232050931817
"72",40005,114,135,0,1050.20652819463
"73",40006,98,69,0,438.477360747518
"74",40007,97,52,0,546.691591678163
"75",40008,114,81,0,858.236420235926
"76",40009,78,27,0,446.733513531494
"77",40010,19,4,0,94.6720346943681
"78",40011,102,147,0,644.390622674546
"79",40012,94,102,0,568.815898833703
"80",40013,108,83,0,704.507041599604
"81",40014,91,55,0,571.645284648831
"82",40015,86,74,0,479.875501050719
"83",40016,78,22,0,418.864061747843
"84",40017,16,4,0,27.5691302602324
"85",40018,114,104,0,834.834363546686
"86",40019,115,81,0,910.834074884209
"87",40020,108,61,0,468.106926672841
"88",40021,102,70,0,768.121660406244
"89",40022,129,126,0,1089.16776215531
"90",40023,79,33,0,266.898417253879
"91",40024,13,7,0,7.11066448763144
"92",40025,103,126,0,704.192012286165
"93",40026,90,92,0,495.350605866502
"94",40027,68,81,0,142.638951049928
"95",40028,85,49,0,428.560173675816
"96",40029,99,146,0,894.969363991126
"97",40030,86,79,0,610.290623079818
"98",40031,13,37,0,70.6137312416923
"99",40032,116,136,0,593.570261397336
"100",40033,105,111,0,341.601806687171
"101",40034,123,78,0,735.035707592223
"102",40035,114,57,0,462.773027745365
"103",40036,127,106,0,1156.49610792055
"104",40037,111,38,0,454.091938453053
"105",40038,34,15,0,283.337264894307
"106",40039,151,119,0,571.508225551503
"107",40040,110,110,0,772.17965181371
"108",40041,115,68,0,260.125517254741
"109",40042,112,60,0,357.51526670354
"110",40043,132,92,0,16.1575967866792
"111",40044,94,22,0,334.312503217643
"112",40045,24,11,0,25.6964040493715
"113",40046,122,121,0,254.887097661861
"114",40047,104,89,0,357.003129127871
"115",40048,128,62,0,1245.59427965721
"116",40049,120,79,0,917.371156943881
"117",40050,174,83,0,592.180082068389
"118",40051,96,31,0,412.474974946322
"119",40052,13,4,0,82.9111711644146
"120",40053,121,96,0,996.010225776324
"121",40054,133,50,0,103.910374783015
"122",40055,118,52,0,1116.91504379135
"123",40056,91,56,0,816.847014783085
"124",40057,120,104,0,914.493389038565
"125",40058,88,27,0,648.209198441807
"126",40059,19,13,0,140.515568974785
"127",40060,150,107,0,1495.15477491531
"128",40061,144,125,0,1301.39634388495
"129",40062,121,103,0,779.717192502357
"130",40063,105,42,0,744.262278463621
"131",40064,133,90,0,200.391803226158
"132",40065,109,29,0,854.179084355702
"133",40066,18,8,0,50.7193688726552
"134",40067,1,2,0,7.40479862867238
"135",40068,105,84,0,1061.19278043916
"136",40069,112,62,0,715.021459543744
"137",40070,82,77,0,35.4446684247934
"138",40071,111,78,0,491.88451043452
"139",40072,79,25,0,343.496922822993
"140",40073,13,8,0,20.7141860418197
"141",40074,112,113,0,505.717124629766
"142",40075,99,71,0,97.3251133180359
"143",40076,140,94,0,473.570485705903
"144",40077,110,59,0,899.773473595446
"145",40078,180,89,0,1712.07498615948
"146",40079,73,18,0,281.38841159489
"147",40080,7,6,0,26.3379692693927
"148",40081,106,115,0,328.644987523756
"149",40082,103,81,0,761.371143418368
"150",40083,93,61,0,629.319900949778
"151",40084,96,71,0,235.753411261302
"152",40085,117,69,0,1195.22318067405
"153",40086,80,36,0,782.407474355827
"154",40087,14,14,0,108.331742560694
"155",40088,120,104,0,846.556566037633
"156",40089,91,73,0,576.16934427039
"157",40090,96,86,0,441.883926769272
"158",40091,74,85,0,319.404845600085
"159",40092,108,126,0,154.163484423112
"160",40093,73,31,0,543.239374511312
"161",40094,13,9,0,124.334414557572
"162",40095,93,114,0,449.074910146331
"163",40096,94,78,0,614.654064053255
"164",40097,76,45,0,219.237855425154
"165",40098,111,60,0,945.736416755682
"166",40099,88,91,0,9.69124277507008
"167",40100,76,22,0,696.245755509756
"168",40101,9,7,0,8.08428352842259
"169",40102,87,75,0,845.463546118183
"170",40103,105,66,0,212.902683117834
"171",40104,78,64,0,9.15513501769954
"172",40105,67,51,0,46.8314210776752
"173",40106,90,94,0,30.3723763048343
"174",40107,68,23,0,400.484973621883
"175",40108,9,4,0,61.338241055959
"176",40109,78,127,0,428.0469517486
"177",40110,74,61,0,1.56325954345137
"178",40111,74,0,0,9.01882644863672
"179",40112,60,95,0,50.3042149666697
"180",40113,75,79,0,313.414359313331
"181",40114,61,38,0,626.687136432635
"182",40115,9,8,0,5.8820761559441
"183",40116,90,119,0,77.8030242697456
"184",40117,86,57,0,337.894871092869
"185",40118,86,58,0,211.812231723059
"186",40119,79,80,0,690.122884080333
"187",40120,90,82,0,596.381876571812
"188",40121,80,49,0,65.2784827550509
"189",40122,21,16,0,77.4444541654741
"190",40123,93,116,0,43.7214094516489
"191",40124,104,61,0,964.175254658543
"192",40125,109,59,0,834.959599041899
"193",40126,88,80,0,636.962625925853
"194",40127,96,86,0,927.078613877721
"195",40128,70,23,0,75.8730554340455
"196",40129,15,7,0,43.6905497151486
"197",40130,73,91,0,621.292500656753
"198",40131,94,57,0,312.582040954953
"199",40132,108,58,0,825.635396239987
"200",40133,73,61,0,413.620439788516
"201",40134,87,77,0,194.04735519455
"202",40135,75,20,0,345.695899857765
"203",40136,10,5,0,32.4281114589097
"204",40137,92,132,0,655.315200220444
"205",40138,87,49,0,638.136824389275
"206",40139,74,57,0,15.3067574927029
"207",40140,73,68,0,299.663010144965
"208",40141,93,80,0,626.662127441092
"209",40142,66,31,0,601.141158201118
"210",40143,18,3,0,64.1312495169002
"211",40144,99,85,0,562.763323387585
"212",40145,94,53,0,317.253589383526
"213",40146,136,46,0,1167.26443709189
"214",40147,6,2,0,47.3651253009407
"215",40148,140,113,0,993.777470410083
"216",40149,73,22,0,687.196934958468
"217",40150,9,5,0,71.1475671050568
"218",40151,140,112,0,1046.9712810577
"219",40152,103,59,0,1009.05023053923
"220",40153,110,72,0,288.649516431328
"221",40154,90,77,0,591.508330709107
"222",40155,135,85,0,230.605914842917
"223",40156,67,27,0,578.431797562063
"224",40157,12,1,0,70.2106385485653
"225",40158,109,91,0,580.796406168455
"226",40159,84,36,0,149.150819632152
"227",40160,92,46,0,403.861263005501
"228",40161,84,100,0,124.958720924079
"229",40162,118,73,0,230.148897436632
"230",40163,68,22,0,19.0084532418081
"231",40164,14,9,0,128.638639893298
"232",40165,90,117,0,327.965320783926
"233",40166,92,44,0,532.245673104081
"234",40167,93,44,0,877.397771522905
"235",40168,85,78,0,662.112868890277
"236",40169,93,89,0,300.629002275054
"237",40170,70,33,0,667.628260827946
"238",40171,13,5,0,14.5733216451501
"239",40172,90,102,0,660.355295523878
"240",40173,91,68,0,510.988822551862
"241",40174,102,64,0,164.462090996127
"242",40175,97,81,0,748.172761776163
"243",40176,42,9,0,174.24140491357
"244",40177,2,2,0,20.1927246146696
"245",40178,14,2,0,100.686542796811
"246",40179,132,117,0,985.956884094055
"247",40180,108,56,0,597.058059637518
"248",40181,120,55,0,468.457249728737
"249",40182,120,112,0,856.581157617868
"250",40183,90,100,0,684.77426071096
"251",40184,48,17,0,381.562058400846
"252",40185,15,7,0,152.092361988565
"253",40186,86,49,0,271.934401700032
"254",40187,109,96,0,135.499644668524
"255",40188,115,47,0,1105.01859459692
"256",40189,123,107,0,291.765790221834
"257",40190,123,93,0,1141.42665533123
"258",40191,60,27,0,140.502719995165
"259",40192,22,9,0,8.7815283658262
"260",40193,81,78,0,85.2601147222755
"261",40194,98,47,0,66.6559325537191
"262",40195,94,31,0,709.93856816282
"263",40196,76,91,0,567.549589891424
"264",40197,96,77,0,486.824572151943
"265",40198,72,22,0,17.4812378452732
"266",40199,12,1,0,49.2081120684537
"267",40200,91,125,0,357.233560971277
"268",40201,74,53,0,179.888632199886
"269",40202,104,37,0,728.992926153069
"270",40203,74,69,0,261.121739928252
"271",40204,91,69,0,628.86304697333
"272",40205,66,16,0,277.044814971986
"273",40206,28,2,0,41.4754868680502
"274",40207,152,95,0,1574.7793299617
"275",40208,97,45,0,669.707652917041
"276",40209,100,61,0,979.675944042052
"277",40210,85,71,0,426.40600820829
"278",40211,123,91,0,153.242691843242
"279",40212,46,28,0,274.949921195619
"280",40213,38,9,0,136.2763575951
"281",40214,138,97,0,454.416949720665
"282",40215,74,60,0,458.304270125055
"283",40216,85,27,0,112.030627909989
"284",40217,78,74,0,417.912275798151
"285",40218,123,45,0,10919.761637704
"286",40219,50,26,0,42.4380779193944
"287",40220,28,2,0,280.043427058093
"288",40221,105,73,0,412.31888065844
"289",40222,109,48,0,852.837415561515
"290",40223,26,9,0,179.702083918353
"291",40224,54,25,0,226.047368152384
"292",40225,105,58,0,989.195610317924
"293",40226,179,110,0,824.916780609469
"294",40227,125,94,0,966.610560586021
"295",40228,84,25,0,734.220166781831
"296",40229,99,101,0,121.332621904179
"297",40230,110,77,0,287.931828593555
"298",40231,80,6,0,502.748346369994
"299",40232,1,3,0,9.75277554328113
"300",40233,111,99,0,258.138869179529
"301",40234,115,86,0,1170.28822791725
"302",40235,108,20,0,193.079004294463
"303",40236,100,72,0,402.770394800606
"304",40237,152,81,0,1275.96816677297
"305",40238,90,16,0,819.881512083889
"306",40239,4,2,0,26.3926149187391
"307",40240,128,110,0,893.88450708737
"308",40241,87,75,0,360.641556635615
"309",40242,84,35,0,859.899389422705
"310",40243,69,102,0,381.473088874741
"311",40244,112,100,0,9.71120539780378
"312",40245,62,9,0,601.016952508731
"313",40246,4,2,0,32.4549583048951
"314",40247,94,100,0,553.395793427255
"315",40248,102,85,0,572.374701982563
"316",40249,98,33,0,218.831558168772
"317",40250,88,24,0,828.326827481276
"318",40251,123,111,0,630.762176251373
"319",40252,55,5,0,339.418303855107
"320",40253,4,1,0,31.5022100098324
"321",40254,92,106,0,486.679944269266
"322",40255,88,102,0,335.363138188347
"323",40256,92,25,0,340.008594626007
"324",40257,92,64,0,291.282267438965
"325",40258,117,78,0,46.0294105158321
"326",40259,73,5,0,201.403616072321
"327",40260,3,1,0,9.55830050948921
"328",40261,85,83,0,877.966102962036
"329",40262,88,78,0,778.110790866159
"330",40263,76,66,0,707.613493721525
"331",40264,93,15,0,351.457834764422
"332",40265,116,64,0,711.049106751968
"333",40266,68,3,0,502.518192001434
"334",40267,19,0,0,23.3375687383967
"335",40268,127,102,0,492.909935671497
"336",40269,93,99,0,405.312584145249
"337",40270,97,41,0,818.394331249485
"338",40271,102,79,0,152.270800407043
"339",40272,109,71,0,281.113528121518
"340",40273,68,9,0,470.425772062531
"341",40274,4,2,0,2.50731690040638
"342",40275,105,103,0,414.741223167027
"343",40276,79,67,0,719.426782715821
"344",40277,90,85,0,811.716824956379
"345",40278,87,78,0,889.584209085954
"346",40279,92,67,0,616.127546873357
"347",40280,63,12,0,61.1443542966714
"348",40281,3,1,0,27.3256714386589
"349",40282,103,97,0,767.77815338759
"350",40283,80,106,0,326.084092777159
"351",40284,80,74,0,825.197816271431
"352",40285,84,86,0,383.815024779004
"353",40286,81,55,0,195.483453801715
"354",40287,88,13,0,711.164653124728
"355",40288,3,1,0,29.8690113905627
"356",40289,100,100,0,556.792330315896
"357",40290,69,103,0,386.175334506661
"358",40291,85,44,0,165.294180864632
"359",40292,85,61,0,5.45181460094306
"360",40293,109,89,0,542.280602488628
"361",40294,74,11,0,403.839336030859
"362",40295,4,2,0,13.6973309283063
"363",40296,96,107,96,348.201060757756
"364",40297,82,89,82,44.2453453817764
"365",40298,85,90,85,482.287106882489
